;Dato;PO;Temperature;% Dødfisk;Tetthet;BA_ano;% FORFORBRUK;% Rensefisk;badebehandling;ferskvannsbehandling;fôrbehandling;mekanisk behandling;termisk behandling
1160;2020-07-31;8.0;13.29;0.46835242710183067;6.241893470242637;2.170083787852906;23.99671003517642;0.425190090736754;1.0;0.0;1.0;0.0;0.0
1161;2020-08-31;8.0;14.97;0.5585396061872206;6.969333113764688;0.7625658347264385;27.22445837297669;1.011205209234468;1.0;0.0;1.0;0.0;0.0
1162;2020-09-30;8.0;13.14;0.901220984119704;7.264876994582634;0.3679618189339781;27.36042058018599;0.24871528768863152;0.0;0.0;1.0;0.0;0.0
1163;2020-10-31;8.0;11.22;0.7982732274016336;7.309945464214863;-0.5262464589852852;24.715171704964817;0.6123175124709327;1.0;0.0;1.0;0.0;0.0
1164;2020-11-30;8.0;9.26;0.5652257264131731;7.178472750495956;-0.1635844467393932;21.962632171114343;0.67123861048832;1.0;0.0;1.0;0.0;0.0
1165;2020-12-31;8.0;7.98;0.6540383866807599;6.885175420494429;-0.7868171288975735;18.360755538832635;0.49249612014820215;1.0;0.0;1.0;0.0;0.0
1166;2021-01-31;8.0;6.67;0.5183331553379524;6.802112441934992;-0.9934332236423216;16.30829160104397;0.01582591055704438;1.0;0.0;1.0;0.0;0.0
1167;2021-02-28;8.0;5.37;0.48388003042275135;6.328773467419502;-0.9287660500874471;13.155586821855334;0.65843024977036;0.0;0.0;0.0;0.0;0.0
1168;2021-03-31;8.0;5.17;0.7817270123671415;6.1497290398290865;-0.5531258507613381;13.571621706154438;0.0;0.0;0.0;1.0;0.0;0.0
1169;2021-04-30;8.0;5.41;0.8934281389336561;6.22558632122692;-0.23191572052596687;13.052382902397946;0.3559258158238053;0.0;0.0;0.0;0.0;0.0
1170;2021-05-31;8.0;7.33;0.7759826128623246;5.996452270410499;0.2469066601340227;16.049471551963386;0.4832023583577842;0.0;0.0;1.0;0.0;0.0
1171;2021-06-30;8.0;11.75;0.45258405319694744;5.983342467572104;2.1323239763048605;20.621230677017586;0.44692932091909127;0.0;0.0;1.0;0.0;0.0
1172;2021-07-31;8.0;13.78;0.4488894391552697;6.417114132534718;1.381323279960406;26.03297702363725;0.514260133306718;0.0;0.0;1.0;0.0;0.0
1173;2021-08-31;8.0;13.17;0.5145816753765711;6.882264522737677;0.2180413819728504;29.543503987387243;0.505003870307994;0.0;0.0;1.0;0.0;0.0
1174;2021-09-30;8.0;11.34;0.5007724345369361;7.343244406836563;0.1938751025821015;29.76360449692655;0.32723380177784017;1.0;0.0;1.0;0.0;0.0
1175;2021-10-31;8.0;10.49;0.742056764122978;7.503390583854722;-0.16450746435501204;26.5189996990948;0.24986023149900538;1.0;0.0;1.0;0.0;0.0
1176;2021-11-30;8.0;9.06;0.5832701617570024;7.378064164733709;-0.13606173965548476;20.923656424143285;0.5144677646008405;0.0;0.0;1.0;0.0;0.0
1177;2021-12-31;8.0;7.17;0.665242326308801;7.270170204715397;-0.8908384171547439;16.195579672674647;0.2723993769613271;0.0;0.0;1.0;0.0;0.0
1178;2022-01-31;8.0;6.11;0.8239215436132846;7.039552208377843;-0.6061853785440358;14.01133967470437;0.5210921421955584;0.0;0.0;0.0;0.0;0.0
2001;2022-02-28;8.0;5.31;;;-0.9261648186252485;;;0.0;0.0;0.0;0.0;0.0
2002;2022-03-31;8.0;5.48;;;-0.6331486810124176;;;1.0;0.0;0.0;0.0;0.0
1179;2022-04-30;8.0;5.47;0.9526327873125753;6.131148956126965;-0.40905119203246343;12.703119346939843;0.10074840339021472;1.0;0.0;0.0;0.0;0.0
1180;2022-05-31;8.0;7.05;0.6741827204367231;6.054329250038151;1.0997469667350943;15.85693879095868;0.0;0.0;0.0;1.0;0.0;0.0
1181;2022-06-30;8.0;10.26;0.678288142081921;5.926857117427133;2.6540526909757403;19.636096322942155;0.06854846747361452;1.0;0.0;1.0;0.0;0.0
1182;2022-07-31;8.0;12.81;0.5182274969577221;6.159446280863726;2.3589387860546847;26.244052667196893;0.07432535580475337;1.0;0.0;1.0;0.0;0.0
1183;2022-08-31;8.0;12.88;0.6339656471530097;6.436277270028994;1.132388226051071;30.65372953379981;0.1658221647457307;0.0;0.0;1.0;0.0;0.0
1184;2022-09-30;8.0;12.04;0.6782006937311996;6.734733118953152;0.013103501074682103;28.96942114261993;0.08741275993123768;1.0;0.0;1.0;0.0;0.0
1185;2022-10-31;8.0;10.33;1.053918673495243;6.6321947580497485;0.058694977240099526;29.30847483996685;0.22531650559980562;1.0;0.0;1.0;0.0;0.0
1186;2022-11-30;8.0;8.92;1.0322695887331976;6.5733086474897;-0.4276234252679464;23.835638643524202;0.0;1.0;0.0;1.0;0.0;0.0
1187;2022-12-31;8.0;7.18;1.033305012673145;6.414616014573478;-0.854029593453094;18.73046742343715;0.10350783123271488;1.0;0.0;1.0;0.0;0.0
1188;2023-01-31;8.0;6.26;1.183811778206007;6.326141197390509;-0.8717906899960634;14.95251623819462;0.040638651257999335;1.0;0.0;1.0;0.0;0.0
1189;2023-02-28;8.0;6.03;1.0335516071120538;6.278200685182359;-0.611723484237749;12.94470271856648;0.0;1.0;0.0;0.0;0.0;0.0
1190;2023-03-31;8.0;5.15;0.9219239672534691;5.96422805417366;-0.7782302680492402;13.998895696379673;0.0;1.0;0.0;0.0;0.0;0.0
