;Dato;PO;Temperature;% Dødfisk;Tetthet;BA_ano;% FORFORBRUK;% Rensefisk;badebehandling;ferskvannsbehandling;fôrbehandling;mekanisk behandling;termisk behandling
544;2024-12-31;6.0;;1.078977406703564;10.977091616022099;;18.00158923327383;0.3900833688509458;1.0;1.0;0.0;1.0;1.0
545;2025-01-31;6.0;;1.2013588337340932;11.279409559717257;;16.35243896208116;0.5011521478472778;1.0;1.0;0.0;1.0;1.0
546;2025-02-28;6.0;;1.0632726114924915;11.485111884871628;;15.165039961422142;0.2479987590014407;1.0;1.0;0.0;1.0;1.0
547;2025-03-31;6.0;;;;;;;1.0;1.0;0.0;1.0;1.0
548;2025-04-30;6.0;;;;;;;1.0;1.0;0.0;1.0;1.0
549;2025-05-31;6.0;;;;;;;;;;;
550;2017-10-31;7.0;12.38;0.6824253081531599;11.506112187915742;-1.127850982782127;26.88104369722182;0.5225467683626784;1.0;0.0;1.0;0.0;0.0
551;2017-11-30;7.0;9.64;0.6970836005206127;11.398592387841834;-0.5800432914968988;22.80979345668047;0.0;0.0;0.0;0.0;0.0;0.0
552;2017-12-31;7.0;7.47;0.7739564087814191;10.752363661862528;-1.1831928724620768;18.479889697326648;0.0;0.0;0.0;0.0;0.0;0.0
553;2018-01-31;7.0;6.23;0.5059017026792022;10.331188753141166;-1.430966104190202;15.16302462556505;0.0;0.0;0.0;0.0;0.0;0.0
554;2018-02-28;7.0;5.44;0.5415325191132334;9.592782138026609;-1.453410926247279;12.183448873336973;0.0;0.0;0.0;0.0;0.0;0.0
555;2018-03-31;7.0;4.62;0.43421297503501216;9.091363834072432;-1.432726482390757;12.047102667419479;0.0;1.0;0.0;0.0;0.0;0.0
556;2018-04-30;7.0;5.39;0.40798052559979353;8.674101043052477;-0.43701256270179994;11.174543620362634;0.0;0.0;0.0;1.0;0.0;0.0
557;2018-05-31;7.0;9.25;0.816994725935936;8.564323225979306;1.9360872752839586;16.552296837802228;0.0;0.0;0.0;1.0;0.0;0.0
558;2018-06-30;7.0;11.38;0.4317403602798868;8.924678963968958;0.6130530339292947;19.919040958425327;0.0;0.0;0.0;1.0;0.0;0.0
559;2018-07-31;7.0;15.18;0.4412633497326691;9.192264104767185;0.2251096879819729;22.89797153072191;0.0;0.0;0.0;1.0;0.0;0.0
