Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2020-12-31;36;1.0;4882978;18633780.616;3055449;106134;2.173550648804889;4052.583866028708;16.39736488781252
2021-01-31;37;1.0;4576244;18791730.944000002;2146724;87573;1.9136435906826645;4086.9358294910835;11.423769350451593
2021-02-28;38;1.0;3817080;16264647.358;1634671;92252;2.4168212350802185;3537.330873858199;10.050454608817349
2021-04-30;39;1.0;1165086;3782253.851;623170;18596;1.5961053518796038;822.5867444541104;16.476154815342138
2021-05-31;40;1.0;650990;1015147.576;204505;2602;0.39969892010629965;220.78024706394083;20.145346827878356
2021-06-30;41;1.0;559763;868813.187;187500;592;0.10575904445274162;188.9545861244019;21.581164145014295
2021-07-31;42;1.0;1752265;1433724.745;404107;4287;0.2446547753907086;311.81486407133536;28.185814704621002
2021-08-31;43;1.0;2856737;2143665.354;665925;12109;0.4238752114737898;466.21691039582424;31.064783444739113
2021-09-30;44;1.0;5247543;3333745.211;961935;60633;1.1554550386723843;725.0424556328838;28.854484644657507
2021-10-31;45;1.0;7426649;4637494.493;1496328;37737;0.5081295749940518;1008.5894939103957;32.26587119960166
2021-11-30;46;1.0;7334546;5722445.532;1642935;28768;0.3922260491651426;1244.5510073945193;28.71036501461977
2021-12-31;47;1.0;7290917;7044354.700999999;1665391;25110;0.3444011226571363;1532.0475643758155;23.641498344249833
2022-01-31;48;1.0;6871567;6284165.415;1496503;18795;0.2735183983507692;1366.7171411483253;23.81387027826988
2022-02-28;49;1.0;6855720;7308234.532;1207745;15847;0.23115004696807923;1589.437697259678;16.525810641567958
2022-03-31;50;1.0;6842522;8474198.824;1381343;13198;0.19288209815036036;1843.0184480208784;16.300573407457264
2022-04-30;51;1.0;6830182;9865121.756;1653728;12340;0.18066868496329966;2145.5245228360154;16.763381546651438
2022-05-31;52;1.0;6814440;11793814.616;2310059;15742;0.2310094446498905;2564.9879547629407;19.587038419834695
2022-06-30;53;1.0;6795697;14871023.849;3756660;18893;0.27801416101983356;3234.2374617224878;25.261609678963808
2022-07-31;54;1.0;6682641;18414557.704;4760350;41640;0.6231069423002074;4004.9059817311872;25.851014596815215
2022-11-30;55;1.0;3713406;14217549.368999999;2707546;36296;0.9774315008916342;3092.1160002174856;19.043689807074234
2022-12-31;56;1.0;3339727;14235852.785;2162596;24525;0.7343414596462525;3096.096734449761;15.191193900787447
2023-01-31;57;1.0;2940278;13636352.001;2058071;30807;1.0477580691349595;2965.7137888212264;15.092533544521839
2023-02-28;58;1.0;2102011;9734167.39;1599627;19529;0.929062692821303;2117.043799478034;16.43311580652816
